DocID,Nombre_Original,Nombre_Fisico,REV,Disciplina,Tags,Estado,Fecha_Carga,Hash_SHA256,Ruta_Relativa,Tamano_Bytes
84f133d9-e724-4063-a3a8-8dad6727a4dc,dueño del producto.docx,84f133d9-e724-4063-a3a8-8dad6727a4dc__dueño_del_producto__REVA.docx,A,Movimiento de Tierra,,Vigente,2025-12-27 14:33:34.694998,8400d512831a6ffcfa474998e627c05cb8cbdf04d972ce1800377e214d4e2aa0,biblioteca_eett\84f133d9-e724-4063-a3a8-8dad6727a4dc__dueño_del_producto__REVA.docx,39269
92f5a61e-7b49-42e5-bccb-d9171320e92f,ULTIMO COMPROMISO.docx,92f5a61e-7b49-42e5-bccb-d9171320e92f__ULTIMO_COMPROMISO__REV0.docx,0,QA,,Obsoleta,2025-12-27 14:33:57.643131,24bde3bddb1ed47df60eb47748175c231535c530c1a02a063a9ae49f37395d3e,biblioteca_eett/92f5a61e-7b49-42e5-bccb-d9171320e92f__ULTIMO_COMPROMISO__REV0.docx,24404
1595cfaf-3388-40d1-9be2-86164e64127c,Alcance.docx,1595cfaf-3388-40d1-9be2-86164e64127c__Alcance__REVA.docx,A,Movimiento de Tierra,,Vigente,2026-01-30 23:54:03.791607,9a07d86cda42edd623a5d70e18f9cb12c7e994d3d3293fb7065549102c5506b5,biblioteca_eett/1595cfaf-3388-40d1-9be2-86164e64127c__Alcance__REVA.docx,13722
f80d9ec3-8d80-4f4f-a05c-d961ae4dd1de,testeo.docx,f80d9ec3-8d80-4f4f-a05c-d961ae4dd1de__testeo__REVA.docx,A,Movimiento de Tierra,,Vigente,2026-02-03 17:11:57.621156,c31f8e60bd920369a3dbeb933c337a650fd66762d8b4b504b9d11b21424eebd5,biblioteca_eett/f80d9ec3-8d80-4f4f-a05c-d961ae4dd1de__testeo__REVA.docx,13731
